,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.01,12,110,rank:map,0.3982379305945679
0,0.01,6,200,rank:map,0.3981558851907557
0,0.025,30,300,rank:pairwise,0.3980161602044106
0,0.1,15,500,rank:map,0.3978997963396615
0,0.1,20,500,rank:ndcg,0.397892294365029
0,0.1,20,300,rank:ndcg,0.3978914245176762
0,0.1,12,150,rank:ndcg,0.3978702265822872
0,0.01,15,150,rank:map,0.3978406161626671
0,0.1,20,300,rank:map,0.397788908701074
0,0.01,6,150,rank:map,0.3977594804193038
0,0.01,15,110,rank:map,0.3977403460469372
0,0.01,8,110,rank:ndcg,0.39753189585021786
0,0.025,15,500,rank:pairwise,0.397510745065873
0,0.1,30,200,rank:ndcg,0.3974667698191312
0,0.01,6,110,rank:map,0.3974456946172648
0,0.1,12,110,rank:pairwise,0.3973895591234035
0,0.1,20,200,rank:ndcg,0.397355007053984
0,0.1,15,500,rank:ndcg,0.397337028432466
0,0.05,20,150,rank:ndcg,0.3973185039224742
0,0.01,30,500,rank:map,0.3973171881352773
0,0.1,15,300,rank:map,0.397173787337752
0,0.1,30,300,rank:pairwise,0.3968875770955053
0,0.025,20,150,rank:pairwise,0.3968590511984876
0,0.1,30,500,rank:pairwise,0.3967810623766255
0,0.01,20,300,rank:ndcg,0.3967782627989482
0,0.05,12,500,rank:map,0.3967396523736613
0,0.4,6,500,rank:map,0.39668349965308375
0,0.4,6,500,rank:pairwise,0.3966309370282932
0,0.01,15,150,rank:ndcg,0.3966237578673839
0,0.1,12,110,rank:map,0.3965367349388488
0,0.025,20,150,rank:map,0.39643370513938697
0,0.1,20,500,rank:pairwise,0.3963892586449957
0,0.025,15,150,rank:pairwise,0.396316797875628
0,0.01,15,150,rank:pairwise,0.3962773170160673
0,0.025,15,300,rank:pairwise,0.3962482573856704
0,0.025,20,150,rank:ndcg,0.39622187145109417
0,0.05,30,200,rank:map,0.3961920224821617
0,0.01,15,110,rank:ndcg,0.3961483502871039
0,0.1,20,200,rank:pairwise,0.3960419460252578
0,0.05,15,110,rank:ndcg,0.3959305742066284
0,0.05,30,200,rank:pairwise,0.39591208661332944
